74270 – Teslić, Pošte Srpske
74260 – Tešanj, BH Pošta
74266 – Tešanjka, BH Pošta
88348 – Tihaljina, HP Mostar
75357 – Tinja, BH Pošta
75455 – Tišća, Pošte Srpske
73311 – Tjentište, Pošte Srpske
77233 – Todorovo, BH Pošta
75265 – Tojšići, BH Pošta
76272 – Tolisa, HP Mostar
80240 – Tomislavgrad, HP Mostar
80241 – Tomislavgrad-Općina, HP Mostar
72213 – Topčić Polje,BH Pošta
70224 – Torlakovac, BH Pošta
72270 – Travnik, BH Pošta
88375 – Trebinja, HP Mostar- Pošta privremeno zatvorena
89101 – Trebinje, Pošte Srpske
78252 – Trn, Pošte Srpske
76335 – Trnova Donja, Pošte Srpske
71220 – Trnovo, Pošte Srpske
76310 – Trnjaci, Pošte Srpske
77225 – Tržačka Raštela, BH Pošta
72283 – Turbe, BH Pošta
75306 – Turija, BH Pošta
78404 – Turjak, Pošte Srpske
75000 – Tuzla, BH Pošta
76330 – Ugljevik, Pošte Srpske
74278 – Ugodnovići, Pošte Srpske
70280 – Uskoplje, HP Mostar
74321 – Usora-Sivša, HP Mostar
74230 – Usora-Žabljak, HP Mostar
73250 – Ustikolina, BH Pošta
73265 – Uvac, Pošte Srpske
88444 – Uzdol, HP Mostar
73249 – Vardište, Pošte Srpske
71330 – Vareš, BH Pošta
71333 – Vareš Majdan, BH Pošta
77243 – Varoška Rijeka, BH Pošta
74213 – Velika Bukovica, Pošte Srpske
77207 – Velika Gata, BH Pošta
77230 – Velika Kladuša, BH Pošta
76329 – Velika Obarska, Pošte Srpske
70234 – Vesela, BH Pošta
80208 – Vidoši, HP Mostar
76275 – Vidovice, HP Mostar
70202 – Vinac, BH Pošta
74455 – Vinska, Pošte Srpske
88247 – Vir, HP Mostar
71300 – Visoko, BH Pošta
73240 – Višegrad, Pošte Srpske
88307 – Višići, HP Mostar
72250 – Vitez, HP Mostar
88326 – Vitina, HP Mostar
74265 – Vitkovci Donji, Pošte Srpske
73205 – Vitkovići, BH Pošta
75440 – Vlasenica, Pošte Srpske
71320 – Vogošća, BH Pošta
88301 – Vojarna Grabovine, HP Mostar- Pošta privremeno zatvorena
72227 – Vozuća, BH Pošta
74487 – Vranjak 7, Pošte Srpske
74488 – Vranjak 8, Pošte Srpske
88113 – Vrapčići, BH Pošta
78211 – Vrbanja, Pošte Srpske
78225 – Vrbanjci, Pošte Srpske
78408 – Vrbaška, Pošte Srpske
79262 – Vrhpolje, BH Pošta
77231 – Vrnograč, BH Pošta
77203 – Vrsta, BH Pošta
76325 – Vršani (Bijeljina), Pošte Srpske
76254 – Vučkovci, BH Pošta
74470 – Vukosavlje, Pošte Srpske
73287 – Zaborak, Pošte Srpske
76333 – Zabrđe, Pošte Srpske
78214 – Zalužani, Pošte Srpske
73305 – Zavajt, Pošte Srpske
72220 – Zavidovići, BH Pošta
74451 – Zborište, Pošte Srpske
77236 – Zborište, BH Pošta
76259 – Zelinja, BH Pošta
72101 – Zenica, BH Pošta
72102 – Zenica, BH Pošta
72112 – Zenica, BH Pošta
88286 – Zovi Do, Pošte Srpske
76214 – Zovik Gornji, HP Mostar
75400 – Zvornik, Pošte Srpske
72236 – Željezno Polje, BH Pošta
72230 – Žepče, HP Mostar
75270 – Živinice, BH Pošta
71373 – Župča, BH Pošta
